Date,Time,Open,High,Low,Close,Volume
10/25/2019,14:15,43720,43740,43720,43740,584
10/25/2019,14:20,43740,43740,43730,43740,146
10/25/2019,14:25,43740,43780,43740,43770,1254
10/25/2019,14:30,43780,43790,43770,43790,446
10/25/2019,14:35,43790,43790,43770,43770,998
10/25/2019,14:40,43770,43780,43770,43770,292
10/25/2019,14:45,43770,43790,43770,43790,458
10/25/2019,14:50,43790,43790,43770,43770,998
10/25/2019,14:55,43770,43770,43730,43750,1180
10/25/2019,15:00,43750,43770,43740,43770,790
10/28/2019,09:05,43840,43980,43840,43980,1268
10/28/2019,09:10,43980,43990,43890,43950,1384
10/28/2019,09:15,43950,43960,43900,43900,1404
10/28/2019,09:20,43900,43930,43900,43910,1472
10/28/2019,09:25,43900,43920,43870,43870,1020
10/28/2019,09:30,43870,43870,43830,43830,892
10/28/2019,09:35,43830,43870,43830,43860,464
10/28/2019,09:40,43870,43870,43810,43810,752
10/28/2019,09:45,43810,43850,43810,43830,630
10/28/2019,09:50,43840,43840,43830,43840,478
10/28/2019,09:55,43840,43840,43810,43810,574
10/28/2019,10:00,43820,43820,43810,43810,386
10/28/2019,10:05,43800,43820,43800,43820,248
10/28/2019,10:10,43820,43820,43820,43820,530
10/28/2019,10:15,43820,43830,43810,43830,702
10/28/2019,10:20,43830,43830,43830,43830,0
10/28/2019,10:25,43830,43830,43830,43830,0
10/28/2019,10:30,43830,43830,43830,43830,0
10/28/2019,10:35,43820,43830,43800,43820,1276
10/28/2019,10:40,43810,43810,43800,43810,830
10/28/2019,10:45,43810,43810,43780,43790,906
10/28/2019,10:50,43790,43810,43780,43800,1004
10/28/2019,10:55,43810,43810,43800,43800,520
10/28/2019,11:00,43800,43810,43800,43800,172
10/28/2019,11:05,43800,43800,43780,43790,780
10/28/2019,11:10,43800,43830,43790,43820,1602
10/28/2019,11:15,43810,43820,43810,43810,634
10/28/2019,11:20,43820,43820,43790,43790,1464
10/28/2019,11:25,43790,43810,43790,43800,1108
10/28/2019,11:30,43800,43800,43760,43770,2244
10/28/2019,11:35,43770,43770,43770,43770,0
10/28/2019,11:40,43770,43770,43770,43770,0
10/28/2019,11:45,43770,43770,43770,43770,0
10/28/2019,11:50,43770,43770,43770,43770,0
10/28/2019,11:55,43770,43770,43770,43770,0
10/28/2019,12:00,43770,43770,43770,43770,0
10/28/2019,12:05,43770,43770,43770,43770,0
10/28/2019,12:10,43770,43770,43770,43770,0
10/28/2019,12:15,43770,43770,43770,43770,0
10/28/2019,12:20,43770,43770,43770,43770,0
10/28/2019,12:25,43770,43770,43770,43770,0
10/28/2019,12:30,43770,43770,43770,43770,0
10/28/2019,12:35,43770,43770,43770,43770,0
10/28/2019,12:40,43770,43770,43770,43770,0
10/28/2019,12:45,43770,43770,43770,43770,0
10/28/2019,12:50,43770,43770,43770,43770,0
10/28/2019,12:55,43770,43770,43770,43770,0
10/28/2019,13:00,43770,43770,43770,43770,0
10/28/2019,13:05,43770,43770,43770,43770,0
10/28/2019,13:10,43770,43770,43770,43770,0
10/28/2019,13:15,43770,43770,43770,43770,0
10/28/2019,13:20,43770,43770,43770,43770,0
10/28/2019,13:25,43770,43770,43770,43770,0
10/28/2019,13:30,43770,43770,43770,43770,0
10/28/2019,13:35,43790,43820,43770,43780,1064
10/28/2019,13:40,43780,43800,43770,43780,1172
10/28/2019,13:45,43780,43800,43780,43800,648
10/28/2019,13:50,43800,43800,43790,43800,314
10/28/2019,13:55,43810,43820,43800,43820,802
10/28/2019,14:00,43820,43830,43820,43830,220
10/28/2019,14:05,43820,43820,43810,43820,862
10/28/2019,14:10,43810,43820,43800,43820,1872
10/28/2019,14:15,43810,43820,43810,43820,526
10/28/2019,14:20,43820,43830,43820,43830,1034
10/28/2019,14:25,43830,43860,43830,43850,1340
10/28/2019,14:30,43850,43850,43830,43850,602
10/28/2019,14:35,43840,43850,43840,43840,236
10/28/2019,14:40,43840,43840,43830,43840,98
10/28/2019,14:45,43840,43850,43840,43840,380
10/28/2019,14:50,43850,43850,43820,43830,604
10/28/2019,14:55,43830,43840,43820,43830,452
10/28/2019,15:00,43840,43840,43800,43810,720
10/29/2019,09:05,43850,43880,43830,43840,268
10/29/2019,09:10,43840,43840,43820,43820,234
10/29/2019,09:15,43820,43820,43780,43810,734
10/29/2019,09:20,43800,43810,43790,43790,472
10/29/2019,09:25,43800,43810,43790,43810,542
10/29/2019,09:30,43800,43810,43790,43790,1670
10/29/2019,09:35,43790,43800,43770,43790,630
10/29/2019,09:40,43790,43790,43770,43790,968
10/29/2019,09:45,43780,43800,43780,43790,418
10/29/2019,09:50,43790,43790,43770,43780,1292
10/29/2019,09:55,43780,43780,43760,43770,382
10/29/2019,10:00,43770,43780,43770,43780,566
10/29/2019,10:05,43780,43790,43780,43780,538
10/29/2019,10:10,43790,43790,43780,43790,510
10/29/2019,10:15,43790,43800,43780,43800,824
10/29/2019,10:20,43800,43800,43800,43800,0
10/29/2019,10:25,43800,43800,43800,43800,0
10/29/2019,10:30,43800,43800,43800,43800,0
10/29/2019,10:35,43790,43800,43780,43800,894
10/29/2019,10:40,43800,43810,43790,43800,1248
10/29/2019,10:45,43800,43800,43780,43790,746
10/29/2019,10:50,43780,43790,43780,43780,632
10/29/2019,10:55,43790,43790,43780,43790,246
10/29/2019,11:00,43790,43790,43780,43780,296
10/29/2019,11:05,43780,43780,43760,43770,1142
10/29/2019,11:10,43760,43770,43740,43750,2246
