size,AVL-Insert-time (ns),Heap-Insert-time (ns),AVL-RemoveMin-time (ns),Heap-RemoveMin-time (ns)
451,458,1333,1667,2500
452,1083,2000,1916,1750
453,750,1416,2584,1500
454,541,1167,1625,1333
455,542,1375,2583,84542
456,151375,326625,234709,2125
457,583,2875,3375,1291
458,542,958,1959,1209
459,209,917,1541,88167
460,155750,1959,229833,2125
461,542,1375,2583,6417
462,916,1417,2500,2000
463,833,1417,1875,1833
464,2250,2250,6292,1625
465,542,1417,7084,2125
466,1084,2958,2083,4250
467,708,1208,1750,1625
468,875,958,1958,1167
469,500,542,1833,1542
470,500,666,2042,1500
471,500,2787459,1292,84125
472,158292,1667,240959,1834
473,458,1333,1792,1167
474,375,333,1375,2125
475,542,1500,4333,2125
476,625,500,4000,2542
477,18084,3958,2458,1542
478,584,4875,1709,1667
479,792,3583,3417,1166
480,625,2917,3166,1250
481,625,312917,265875,83125
482,1083,958,233709,79000
483,1250,1417,3334,2000
484,1125,2459,3542,1334
485,500,1292,2250,791
486,625,542,1917,1125
487,750,2042,3792,2541
488,875,875,1375,87333
489,152583,2250,242500,2250
490,459,708,1917,1959
491,708,1083,1958,958
492,500,750,1833,1541
493,500,1334,3584,1417
494,500,308750,4625,1375
495,834,1541,2459,1375
496,1000,1083,1791,1625
497,750,1083,1791,1625
498,459,625,1959,1666
499,542,583,1166,1250
500,625,1458,1833,1500
501,625,584,2042,1375
502,625,1375,2083,1334
503,708,1333,1667,1375
504,417,3583,620917,108542
505,3375,1584,2417,4334
506,500,9018750,219166,84958
507,1042,2500,6584,2458
508,542,33125,235958,84333
509,1000,2666,2708,2125
510,500,750,1541,2834
511,792,250,1541,1541
512,666,23833,2958,1583
513,833,4375,2042,4625
514,542,1584,2416,3042
515,2209,958,2292,1125
516,541,834,1834,1334
517,667,1875,250167,82542
518,1083,1542,2167,2166
519,417,833,1125,1000
520,250,1375,2833,1625
521,875,314416,3375,1250
522,458,84375,1875,1458
523,417,6042,2000,1334
524,333,750,1625,1750
525,625,4000,3084,2334
526,791,1834,2291,1666
527,666,1875,2625,1584
528,625,1542,2792,2208
529,834,1625,2417,2041
530,709,1375,2583,1500
531,584,9052083,241833,87792
532,917,298584,3334,96417
533,164334,35125,236792,1584
534,875,2334,2917,1250
535,958,1542,2083,82250
536,164958,1875,238834,1833
537,583,1541,2084,1542
538,500,314084,2542,1166
539,792,1375,1833,1500
540,667,6084,1667,1375
541,667,750,1209,1542
542,375,792,1542,1125
543,542,750,1166,875
544,291,583,1375,77458
545,152167,1750,244959,1500
546,625,875,1667,1583
547,584,92875,1416,1417
548,708,792,1042,1458
549,583,1291,1250,1917
550,541,322125,3333,1209
551,541,1292,1458,2166
552,792,98958,1625,1333
553,708,1541,2750,1250
554,500,875,1959,9416
555,667,1708,11083,2083
556,833,303459,234833,73708
557,1208,325542,2500,1708
558,709,1834,2125,1541
559,333,1833,262750,82667
560,959,1250,3417,2209
561,750,342542,2625,1875
562,625,1958,1583,1333
563,708,1375,2042,1792
564,667,1625,1750,1167
565,583,792,2000,98917
566,158958,1625,236959,2250
567,709,1667,2292,917
568,250,125,1166,1833
569,417,1750,3750,959
570,292,1208,1500,416
571,208,583,1042,1333
572,583,458,1292,2000
573,1208,2587667,1542,1583
574,583,325833,2791,1417
575,500,4041,1583,708
576,666,1042,3083,1791
577,541,667,2292,2084
578,542,1084,1875,1167
579,625,2584,11000,4958
580,541,1333,1666,1375
581,625,834,1875,103375
582,166417,300833,238042,99167
583,165292,2167,242334,1459
584,666,348084,2541,1541
585,708,2459,2542,88541
586,165916,2209,240208,2208
587,792,2000,1834,1292
588,625,1875,2542,1166
589,542,750,2333,1459
590,417,1125,1917,1167
591,750,750,1709,1667
592,500,709,2625,1292
593,584,1083,231958,81958
594,791,1416,1750,1792
595,250,584,1375,916
596,167,708,1084,375
597,167,667,1000,1625
598,625,1125,2209,1250
599,959,2250,2750,1375
600,625,2042,1875,1458
601,750,1250,1791,1166
602,500,1500,4000,1042
603,625,1625,1875,1542
604,583,1708,1917,1291
605,583,1667,2333,1334
606,667,1459,2208,105542
607,163250,328375,243375,1417
608,459,2042,2625,1250
609,458,1167,253583,82375
610,1083,1459,2125,1500
611,458,450500,9583,3375
612,583,1750,2333,1667
613,667,958,85708,1500
614,542,63458,256208,82084
615,1125,1875,2041,1583
616,666,625,2000,1417
617,666,2625,5625,1125
618,375,959,2125,1125
619,209,958,1667,1083
620,166,708,1500,917
621,208,584,1292,1084
622,250,791,1417,750
623,333,875,1166,834
624,208,1042,2584,9542
625,9042,1541,2000,1833
626,750,916,340125,127750
627,1708,1875,2208,1500
628,666,709,2458,1458
629,542,4125,1834,1333
630,667,1458,1625,1875
631,542,1041,1667,88167
632,176125,304917,274000,113875
633,958,306084,6500,2084
634,542,1708,272250,84042
635,833,1333,2333,1333
636,583,1166,2583,1583
637,542,2041,3375,1625
638,542,1208,2125,1625
639,583,80167,1667,1041
640,708,1041,230708,78834
641,1208,1209,1792,1834
642,250,84,1208,1292
643,209,542,1292,583
644,250,500,916,3917
645,959,1167,2083,1417
646,667,2375,2375,2709
647,541,1209,1959,1416
648,458,2000,2958,917
649,667,1292,2333,1292
650,708,959,1542,1375
651,667,1334,2458,1833
652,875,750,1750,1750
653,625,833,1792,1291
654,625,875,1375,1166
655,667,1166,316208,142167
656,4791,290041,222666,91834
657,959,6125,2458,89583
658,152792,2333,237250,1917
659,625,1584,2834,2125
660,708,1375,2541,1542
661,666,2583,2541,1750
662,500,1167,3208,2625
663,1042,1000,2250,4750
664,667,1709,302833,85458
665,1041,1500,2250,1750
666,541,1167,1916,2584
667,1250,1083,3125,1209
668,625,1875,2709,1333
669,583,1375,1916,1208
670,583,791,1167,1083
671,459,667,1375,1042
672,625,625,1416,1000
673,375,583,1250,1125
674,584,833,1209,1000
675,542,2291,2458,4042
676,709,2000,2792,1417
677,833,1291,2375,118208
678,168750,12541,278125,1667
679,666,3750,3708,1125
680,500,11792,2459,2959
681,833,6875,2500,95583
682,160500,336792,239042,94541
683,159958,6292,244458,1541
684,541,2791,3708,1667
685,542,1333,6125,1583
686,625,1958,260500,80167
687,1000,2000,3209,2166
688,459,308834,3000,1500
689,625,1292,1875,1541
690,667,1584,1917,1375
691,458,1333,2167,1291
692,458,1292,2250,1958
693,625,1084,244625,80750
694,917,1291,2041,1708
695,416,791,1541,1000
696,500,166,1000,625
697,125,1209,2250,1750
698,583,294125,2958,1791
699,584,1458,3375,1583
700,875,1291,2209,1333
701,458,1791,1834,2792
702,1083,1291,2083,1667
703,708,1250,2000,1667
704,1125,3459,1958,3750
705,667,1208,2042,1084
706,750,559125,255209,88792
707,1000,2750,2667,84958
708,170542,5750,248125,1750
709,583,304917,2750,1375
710,500,1334,2166,1125
711,417,833,1958,116333
712,154834,1667,244459,2292
713,750,1167,1875,1625
714,667,292,1417,1084
715,666,2833,5959,1250
716,750,1042,2000,1375
717,542,1292,2292,1166
718,625,1291,2042,1209
719,334,667,1959,1084
720,250,625,1208,958
721,209,708,1208,583
722,167,542,1042,708
723,125,1125,235667,79292
724,1000,1291,2250,1791
725,625,3875,2416,1792
726,583,4791,2542,2084
727,583,273333,3709,2667
728,1250,4917,1625,1000
729,2170584,391542,2834,1625
730,625,6833,4584,3250
731,708,411667,259250,90500
732,875,2666,4125,79959
733,154375,2625,234750,1917
734,666,1000,2416,791
735,333,1375,3791,1625
736,500,332542,2583,3375
737,625,1791,1875,1708
738,708,1417,2083,1458
739,750,791,1750,958
740,500,458,2333,96542
741,161333,3292,234125,1959
742,583,833,1791,1416
743,292,625,1834,1667
744,250,2375,4375,2000
745,542,304750,7250,959
746,417,1417,2125,1666
747,208,1292,1833,1375
748,458,625,1333,1166
749,416,541,2167,1083
750,583,1792,2708,1791
751,625,1625,2250,1333
752,625,1500,2083,2000
753,625,1083,2083,1750
754,666,1042,1667,1084
755,750,1125,2083,1708
