Time,Time Code,Country Name,Country Code,Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
2012,YR2012,Lithuania,LTU,66.864,4.75802993774414
2012,YR2012,Luxembourg,LUX,89.249,3.87815999984741
2012,YR2012,Mexico,MEX,78.405,5.10309982299805
2012,YR2012,Netherlands,NLD,88.588,5.4102201461792
2012,YR2012,New Zealand,NZL,86.161,7.15993022918701
2012,YR2012,Norway,NOR,79.874,7.37470006942749
2012,YR2012,Poland,POL,60.654,4.82954978942871
2012,YR2012,Portugal,PRT,61.763,4.94940996170044
2012,YR2012,Slovak Republic,SVK,54.28,3.87419009208679
2012,YR2012,Slovenia,SVN,53.108,5.62023019790649
2012,YR2012,Spain,ESP,78.902,4.4693398475647
2012,YR2012,Sweden,SWE,85.62,7.5369701385498
2012,YR2012,Switzerland,CHE,73.653,4.85834980010986
2012,YR2012,Turkiye,TUR,71.974,..
2012,YR2012,United Kingdom,GBR,81.837,..
2012,YR2012,United States,USA,81.119,..
2013,YR2013,Australia,AUS,85.502,5.22923994064331
2013,YR2013,Austria,AUT,57.336,5.54711008071899
2013,YR2013,Belgium,BEL,97.789,6.63052988052368
2013,YR2013,Canada,CAN,81.178,..
2013,YR2013,Chile,CHL,87.246,4.52942991256714
2013,YR2013,Czechia,CZE,73.29,4.04676008224487
2013,YR2013,Denmark,DNK,87.292,8.49442958831787
2013,YR2013,Estonia,EST,68.122,4.84388017654419
2013,YR2013,Finland,FIN,85.125,7.12404012680054
2013,YR2013,France,FRA,79.135,..
2013,YR2013,Germany,DEU,77.18,4.93538999557495
2013,YR2013,Greece,GRC,77.355,..
2013,YR2013,Hungary,HUN,69.953,4.18772983551025
2013,YR2013,Iceland,ISL,93.633,7.44868993759155
2013,YR2013,Ireland,IRL,62.141,5.34205007553101
2013,YR2013,Israel,ISR,92.031,5.85425996780396
2013,YR2013,Italy,ITA,68.979,4.14367008209229
2013,YR2013,Japan,JPN,91.226,3.62496995925903
2013,YR2013,"Korea, Rep.",KOR,81.779,..
2013,YR2013,Latvia,LVA,67.925,6.99697017669678
2013,YR2013,Lithuania,LTU,66.986,4.60233020782471
2013,YR2013,Luxembourg,LUX,89.574,..
2013,YR2013,Mexico,MEX,78.699,4.69605016708374
2013,YR2013,Netherlands,NLD,89.187,5.52655982971191
2013,YR2013,New Zealand,NZL,86.221,6.70155000686646
2013,YR2013,Norway,NOR,80.286,7.48535013198853
2013,YR2013,Poland,POL,60.529,4.97062015533447
