Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Population growth (annual %) [SP.POP.GROW],Arable land (% of land area) [AG.LND.ARBL.ZS]
2001,YR2001,Austria,AUT,24558.7636778868,59.934,0.382799394483217,16.8080465341735
2001,YR2001,Australia,AUS,19527.3235767954,84.1,1.34835834227145,3.15009827785949
2001,YR2001,Belgium,BEL,23015.0712632462,97.186,0.343951157623668,27.9062087186262
2001,YR2001,Canada,CAN,23822.0601178964,79.81,1.08635096562717,4.56723985816884
2001,YR2001,Chile,CHL,4609.21396034224,86.363,1.12619894374837,2.35363104748686
2001,YR2001,Czechia,CZE,6637.04165713981,73.877,-0.375719704335905,41.8791251455934
2001,YR2001,Denmark,DNK,30751.654348268,85.15,0.358315678955486,57.3
2001,YR2001,Estonia,EST,4505.85833233188,69.242,-0.63696312445507,15.9707478178816
2001,YR2001,Finland,FIN,24967.7925153182,82.368,0.227687341886374,7.20082734167241
2001,YR2001,France,FRA,22452.9823753273,76.127,0.727789664461319,33.5043930697065
2001,YR2001,Germany,DEU,23628.3272122367,75.17,0.168225361337335,33.8578389223273
2001,YR2001,Greece,GRC,12549.036894906,72.913,0.51988446396193,21.1016291698991
2001,YR2001,Hungary,HUN,5276.03318905496,64.67,-0.229379183308447,51.3947779513501
2001,YR2001,Iceland,ISL,28897.4439396908,92.532,1.32929525456819,1.28678304239401
2001,YR2001,Ireland,IRL,28282.409882073,59.399,1.59215149039299,7.39149368558572
2001,YR2001,Israel,ISR,20316.2480483237,91.267,2.35711729946802,15.8040665434381
2001,YR2001,Japan,JPN,34406.1824638092,79.99,0.240952587521069,12.1920438957476
2001,YR2001,Italy,ITA,20500.9543995672,67.282,0.0561676014374784,28.1991627158306
2001,YR2001,"Korea, Rep.",KOR,11561.2483689073,79.94,0.767241774760276,17.4591689063469
2001,YR2001,Latvia,LVA,3578.00190041351,67.95,-1.29148694354873,15.3952464364343
2001,YR2001,Lithuania,LTU,3525.79363185461,66.919,-0.824008723044179,26.0210593490747
2001,YR2001,Luxembourg,LUX,48440.1420151355,84.843,1.19045634528707,24.0827202597826
2001,YR2001,Mexico,MEX,7544.56872335784,75.045,1.40395986845276,11.9092569253324
2001,YR2001,Netherlands,NLD,26896.5481111196,77.83,0.754840057734904,29.8815165876777
2001,YR2001,New Zealand,NZL,13882.8568268586,86.1,0.589286034969052,5.69670730317876
2001,YR2001,Norway,NOR,38542.715099709,76.378,0.506046910557235,2.41208616705545
2001,YR2001,Poland,POL,4991.24435799511,61.761,-0.0275871247282958,44.350125697868
2001,YR2001,Portugal,PRT,11734.7649743954,55.044,0.705230637323876,17.7984699453552
2001,YR2001,Slovak Republic,SVK,5722.1681828083,56.163,-0.18301227099618,29.97920997921
2001,YR2001,Slovenia,SVN,10479.7596309273,50.78,0.157498742047657,8.58987090367428
2001,YR2001,Spain,ESP,15369.0011599444,76.343,0.694068084334464,26.2055684827088
2001,YR2001,Switzerland,CHE,39727.8466713883,73.375,0.632771238018431,10.3585254155808
2001,YR2001,Sweden,SWE,27247.857734793,84.071,0.268470527954234,6.57632928977951
2001,YR2001,Turkiye,TUR,3142.92099774582,65.34,1.49422662100438,30.9252497953562
2001,YR2001,United States,USA,37133.623113437,79.234,0.989741382223669,19.1444588033949
2001,YR2001,United Kingdom,GBR,27806.4488245133,78.751,0.384975969564228,23.3579961145786
2002,YR2002,Austria,AUT,26527.5930910347,59.655,0.49198046425522,16.7838099854581
2002,YR2002,Australia,AUS,20117.7888912664,84.222,1.22056378534358,3.08956952995848
