"","year","country_code","GDP_per_capita","pct_urban_popl","pct_pop_growth","pct_agri_val_add"
"77",2002,33,4481.83125502139,86.606,1.0788448744697,4.06503324753284
"78",2002,34,8060.86870292424,73.809,-0.192901617564167,2.65958672335973
"79",2002,35,33228.6935448819,85.25,0.319487125340996,1.7811164321679
"80",2002,36,5341.62894677002,69.116,-0.633433796423808,3.55352070544501
"81",2002,1,26997.7529897788,82.503,0.242381050233372,2.67230580660803
"82",2002,2,24292.5802304835,76.38,0.727226637519812,2.01085885192927
"83",2002,NA,14177.5721592705,73.303,0.366566462148184,4.98711360482813
"84",2002,NA,25197.2656001848,75.374,0.168128319406931,0.900496788164431
"85",2002,3,6655.33300865319,65.081,-0.28475137719698,4.26079504256631
"86",2002,4,32409.2161491753,92.662,0.892596377462957,7.51299343302451
"87",2002,5,32705.4345565698,59.649,1.68514885730282,1.7353084894094
