Time,Time Code,Country Name,Country Code,"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
2005,YR2005,Portugal,PRT,63.0261405065662,57.522,5.07394981384277
2005,YR2005,Slovak Republic,SVK,54.8383141004147,55.563,3.75995993614197
2005,YR2005,Slovenia,SVN,55.6083568335487,51.533,5.60408020019531
2005,YR2005,Spain,ESP,59.8235630938247,77.263,4.14432001113892
2005,YR2005,Sweden,SWE,62.3676897804055,84.319,6.5064001083374
2005,YR2005,Switzerland,CHE,69.5055061306091,73.478,5.05740022659302
2005,YR2005,United Kingdom,GBR,69.2727355864584,79.915,4.92918014526367
2005,YR2005,United States,USA,74.0256826905582,79.928,..
2005,YR2005,Mexico,MEX,60.0056730750059,76.308,4.84568977355957
2005,YR2005,Turkiye,TUR,53.0447371507026,67.84,..
2006,YR2006,Australia,AUS,63.7086403134502,84.7,4.74065017700195
2006,YR2006,Austria,AUT,60.7033786497088,58.532,5.22652006149292
2006,YR2006,Belgium,BEL,66.148949028376,97.454,..
2006,YR2006,Canada,CAN,62.7231931063883,80.213,..
2006,YR2006,Chile,CHL,48.4126070132585,86.842,3.02152991294861
2006,YR2006,Czechia,CZE,54.3914960600485,73.533,4.1955099105835
2006,YR2006,Denmark,DNK,60.9398964996145,86.098,7.72990989685059
2006,YR2006,Estonia,EST,57.8680559189266,68.607,..
2006,YR2006,Finland,FIN,54.9529488655095,83.037,5.92838001251221
2006,YR2006,France,FRA,68.7173829411125,77.377,..
2006,YR2006,Germany,DEU,62.7234306606068,76.179,4.2939600944519
2006,YR2006,Greece,GRC,65.4215157397564,74.827,..
2006,YR2006,Hungary,HUN,56.1230118340277,66.895,5.28811979293823
2006,YR2006,Iceland,ISL,58.9450974769641,93.159,7.19521999359131
2006,YR2006,Ireland,IRL,56.9183200417932,60.738,4.54742002487183
2006,YR2006,Israel,ISR,66.1514613375909,91.58,5.75635004043579
2006,YR2006,Italy,ITA,64.2518182031302,67.856,4.52545022964478
2006,YR2006,Japan,JPN,69.4497937291725,87.118,3.27667999267578
2006,YR2006,"Korea, Rep.",KOR,54.6991825290634,81.528,..
2006,YR2006,Latvia,LVA,64.5328113481999,67.967,4.68466997146606
2006,YR2006,Lithuania,LTU,56.3545504022714,66.706,4.82572984695435
2006,YR2006,Luxembourg,LUX,75.9521165224508,87.009,..
2006,YR2006,Netherlands,NLD,65.905848299364,83.636,5.04402017593384
2006,YR2006,New Zealand,NZL,64.3316434501523,86.4,5.95276021957397
2006,YR2006,Norway,NOR,48.1585441071832,77.95,6.3827600479126
2006,YR2006,Poland,POL,56.1878232443234,61.341,5.20765018463135
2006,YR2006,Portugal,PRT,62.9469119325051,58.137,4.90767002105713
2006,YR2006,Slovak Republic,SVK,53.4056262771922,55.412,3.70770001411438
2006,YR2006,Slovenia,SVN,55.6182025482342,51.758,5.59066009521484
2006,YR2006,Spain,ESP,60.0397679670619,77.502,4.1848201751709
2006,YR2006,Sweden,SWE,62.0527871637855,84.43,6.36429023742676
