id,h,DeltaT,lambda,R2
24,60,15,4.516089,0.08845947
24,60,60,3.526301,0.06095509
25,1,1,4.642925,0.06568351
25,1,15,4.326681,0.007660261
25,1,60,5.567081,0.004042058
25,5,1,5.702548,0.1193504
25,5,15,5.567138,0.05276677
25,5,60,5.683078,0.02247546
25,30,1,5.809352,0.1311396
25,30,15,4.893918,0.09387965
25,30,60,4.063711,0.06582843
25,60,1,5.780356,0.131401
25,60,15,4.515949,0.09360459
25,60,60,3.560707,0.07580496
26,1,1,4.91394,0.07041396
26,1,15,5.637768,0.01226734
26,1,60,7.341197,0.005535745
26,5,1,6.064335,0.1278537
26,5,15,6.126298,0.06174874
26,5,60,6.647936,0.02413103
26,30,1,6.173527,0.1400509
26,30,15,5.335471,0.1078475
26,30,60,4.948009,0.08682414
26,60,1,6.148901,0.1406825
26,60,15,4.995087,0.1122802
26,60,60,4.448843,0.1109991
27,1,1,4.742755,0.06247526
27,1,15,3.590093,0.00528805
27,1,60,4.018397,0.001959924
27,5,1,5.808606,0.1119538
27,5,15,4.605344,0.03761274
27,5,60,4.018805,0.0108502
27,30,1,5.886793,0.122306
27,30,15,4.304493,0.0763989
27,30,60,3.406246,0.04519432
27,60,1,5.855749,0.1226106
27,60,15,4.05034,0.07905729
27,60,60,3.052177,0.05409051
28,1,1,4.247432,0.0546959
28,1,15,3.804207,0.006682668
28,1,60,7.054521,0.00607976
28,5,1,5.37231,0.1057782
28,5,15,5.1709,0.05144886
28,5,60,7.749168,0.03762288
28,30,1,5.550359,0.1193402
28,30,15,5.087009,0.1102355
28,30,60,5.488935,0.1090237
28,60,1,5.533776,0.1199621
28,60,15,4.709002,0.1101747
28,60,60,4.334156,0.1053782
29,1,1,4.604587,0.06508458
29,1,15,3.646061,0.005440818
29,1,60,3.994567,0.00198511
29,5,1,5.779689,0.1211301
29,5,15,5.169622,0.04366367
29,5,60,4.698177,0.01394189
29,30,1,5.944194,0.1345808
29,30,15,5.003001,0.09148148
29,30,60,4.132175,0.06097728
29,60,1,5.932145,0.1354139
29,60,15,4.75886,0.0961005
29,60,60,3.767985,0.07577468
30,1,1,4.693419,0.06221355
30,1,15,4.045504,0.006611292
30,1,60,4.573047,0.002575621
30,5,1,5.823992,0.1153859
30,5,15,5.387207,0.04956639
30,5,60,4.965037,0.01597459
30,30,1,5.944406,0.1276706
30,30,15,4.982758,0.09453602
30,30,60,3.793086,0.05214778
30,60,1,5.920647,0.1281701
30,60,15,4.676999,0.09638859
30,60,60,3.336587,0.06027973
31,1,1,4.366893,0.06127286
31,1,15,3.890262,0.006138
31,1,60,5.892111,0.004215748
31,5,1,5.415412,0.1127015
31,5,15,5.218858,0.04523412
31,5,60,6.326439,0.02500139
31,30,1,5.564332,0.1254042
31,30,15,5.180052,0.1002975
31,30,60,4.894027,0.08275181
31,60,1,5.546611,0.1259843
31,60,15,4.864134,0.1027045
31,60,60,4.097237,0.08701106
32,1,1,4.671322,0.06443012
32,1,15,4.156101,0.006822415
32,1,60,4.082833,0.001973297
32,5,1,5.710448,0.1157163
32,5,15,5.068226,0.04198359
32,5,60,4.119878,0.01064202
32,30,1,5.807114,0.1267409
32,30,15,4.607849,0.08048443
32,30,60,3.417021,0.04271475
32,60,1,5.7823,0.1271774
32,60,15,4.320707,0.08291393
32,60,60,3.08826,0.05167398
33,1,1,4.897807,0.06859549
33,1,15,4.637671,0.008601712
33,1,60,4.874326,0.002760882
33,5,1,5.974144,0.1231633
33,5,15,5.46034,0.05011758
33,5,60,4.809889,0.0144904
33,30,1,6.021814,0.1333596
33,30,15,4.860373,0.09173044
33,30,60,3.654448,0.04770658
33,60,1,5.982571,0.1333834
33,60,15,4.518158,0.09250028
33,60,60,3.21967,0.05511173
34,1,1,4.068657,0.05535594
34,1,15,3.322845,0.005287647
34,1,60,3.043345,0.001464193
34,5,1,5.00915,0.1015038
34,5,15,3.519976,0.02838186
34,5,60,2.478411,0.005910274
34,30,1,5.060714,0.1107032
34,30,15,3.072631,0.05024889
34,30,60,1.672034,0.01534635
34,60,1,5.034423,0.1109532
34,60,15,2.914111,0.05191377
34,60,60,1.642039,0.0216888
35,1,1,4.616121,0.06672172
35,1,15,4.318865,0.008489997
35,1,60,4.921108,0.003141155
35,5,1,5.66389,0.1204264
35,5,15,5.500826,0.05514841
35,5,60,5.099446,0.0165414
35,30,1,5.770233,0.1321897
