month,h,DeltaT,varI,covI,varrtn,lambda,prevLambda,R2
2019-10,1,1,0.04804541,0.1985322,14.14245,4.132178,4.327809,0.05787763
2019-10,1,15,0.08010098,0.2611946,179.7131,3.260816,3.716,0.004646913
2019-10,1,60,0.07135686,0.3115492,518.3304,4.366073,4.281779,0.002623307
2019-10,5,1,0.05763059,0.2959537,14.14245,5.135357,5.355234,0.1072686
2019-10,5,15,0.3318422,1.494737,179.7131,4.50436,4.784517,0.03731941
2019-10,5,60,0.3758434,1.717841,518.3304,4.57063,4.393167,0.01512506
2019-10,30,1,0.06104828,0.320474,14.14245,5.249518,5.45958,0.1187658
2019-10,30,15,0.7577781,3.216962,179.7131,4.245255,4.389901,0.07590413
2019-10,30,60,2.096506,6.899745,518.3304,3.291068,3.308217,0.0438078
2019-10,60,1,0.06177431,0.3229271,14.14245,5.227531,5.437383,0.1191725
2019-10,60,15,0.8827474,3.49498,179.7131,3.959207,4.104589,0.07689307
2019-10,60,60,3.120372,8.842441,518.3304,2.833778,2.953409,0.04825658
2019-11,1,1,0.03979328,0.1622566,10.55893,4.077487,4.132178,0.06264651
2019-11,1,15,0.06465033,0.2241376,123.6165,3.466922,3.260816,0.006263899
2019-11,1,60,0.05732533,0.2486005,355.8871,4.33666,4.366073,0.00302918
2019-11,5,1,0.04759479,0.242156,10.55893,5.087867,5.135357,0.1166738
2019-11,5,15,0.2628126,1.250119,123.6165,4.756693,4.50436,0.0479685
2019-11,5,60,0.2906703,1.394007,355.8871,4.795835,4.57063,0.01874382
2019-11,30,1,0.05031563,0.2619568,10.55893,5.206271,5.249518,0.1291536
2019-11,30,15,0.5845259,2.608765,123.6165,4.463044,4.245255,0.09396242
2019-11,30,60,1.585498,5.821498,355.8871,3.671715,3.291068,0.05941535
2019-11,60,1,0.05088137,0.2639372,10.55893,5.187304,5.227531,0.1296571
2019-11,60,15,0.6771609,2.836295,123.6165,4.188509,3.959207,0.09581441
2019-11,60,60,2.360411,7.629344,355.8871,3.23221,2.833778,0.06823773
2019-12,1,1,0.03108412,0.1173308,7.402128,3.774621,4.077487,0.05944612
2019-12,1,15,0.05062968,0.1657095,84.20258,3.272971,3.466922,0.006418543
2019-12,1,60,0.04418931,0.183382,237.4979,4.149918,4.33666,0.003197835
2019-12,5,1,0.03717764,0.173763,7.402128,4.673856,5.087867,0.1088566
2019-12,5,15,0.2051073,0.8832386,84.20258,4.306228,4.756693,0.04467567
2019-12,5,60,0.2218763,0.9795235,237.4979,4.414728,4.795835,0.01807218
2019-12,30,1,0.03920464,0.1873224,7.402128,4.778066,5.206271,0.1199453
2019-12,30,15,0.4516581,1.830341,84.20258,4.052492,4.463044,0.08718635
2019-12,30,60,1.172863,3.960613,237.4979,3.376876,3.671715,0.05588488
2019-12,60,1,0.039608,0.1886441,7.402128,4.762777,5.187304,0.1204155
2019-12,60,15,0.5204892,1.985758,84.20258,3.815177,4.188509,0.08911218
2019-12,60,60,1.720932,5.147204,237.4979,2.99094,3.23221,0.06439974
